Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L12     S2      
6-22    7       1.8922  0       0       0       29.907  -15.01  99.4    5.4027  0.4999  
6-23    14      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
6-24    15      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
6-25    30      1.0569  0       0       0       47.447  0.8596  99.54   5.5987  0.4102  
6-26    22      1.2482  0       0       0       44.422  8.8599  99.56   5.5077  0.5012  
6-27    16      1.3876  0       0       0       36.553  -4.129  99.45   5.5071  0.4565  
6-28    19      1.2824  0       0       0       45.47   10.994  99.59   5.4797  0.5315  
6-29    27      1.0613  0       0       0       48.842  2.7026  99.56   5.5954  0.4184  
6-30    28      1.0613  0       0       0       48.842  2.7026  99.56   5.5954  0.4184  
---------------------------------------------------------------------
Average :       1.628   0       0       0       43.48   3.185   99.52   
Optimum :       1.054   0       0       0       48.84   -0.86   99.69   
 
7-1     10      1.6284  0       0       0       33.003  -10.55  99.39   5.4965  0.4436  
7-2     18      1.3257  0       0       0       48.236  13.779  99.58   5.5488  0.4859  
7-3     12      1.4967  0       0       0       53.259  20.697  99.63   5.546   0.5144  
7-4     3       2.6066  0       0       0       28.665  -31.05  99.31   5.4796  0.4115  
7-5     14      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
7-6     24      1.2482  0       0       0       44.422  8.8599  99.56   5.5077  0.5012  
7-7     13      1.4776  0       0       0       51.604  19.894  99.64   5.4744  0.5702  
7-8     7       1.6932  0       0       0       58.921  27.503  99.66   5.5635  0.5269  
7-9     21      1.278   0       0       0       45.125  10.613  99.59   5.4728  0.5356  
7-10    9       1.6708  0       0       0       32.194  -10.79  99.43   5.4251  0.4971  
7-11    6       1.7441  0       0       0       60.671  29.139  99.66   5.59    0.5112  
7-12    15      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
7-13    19      1.2969  0       0       0       47.396  12.423  99.57   5.5582  0.4733  
7-14    4       1.903   0       0       0       64.667  34.211  99.69   5.5589  0.5591  
7-15    25      1.2751  0       0       0       39.234  0.716   99.5    5.4965  0.4812  
7-16    23      1.3001  0       0       0       38.515  1.229   99.54   5.4114  0.5497  
7-17    20      1.2888  0       0       0       39.908  5.2208  99.59   5.3513  0.6131  
7-18    28      1.1185  0       0       0       45.181  -2.267  99.51   5.6     0.4     
7-19    8       1.6105  0       0       0       57.089  24.703  99.63   5.6     0.4849  
7-20    16      1.3996  0       0       0       51.08   17.035  99.58   5.5949  0.46    
7-21    2       5.1451  0       0       0       20.514  -50.56  99.07   5.411   0.4097  
7-22    30      1.0559  0       0       0       47.543  1.0018  99.54   5.6     0.4096  
7-23    1       8.4223  0       0       0       16.087  -64.12  98.83   5.3738  0.4022  
7-24    5       1.7844  0       0       0       61.915  30.422  99.66   5.6     0.5079  
7-25    29      1.0569  0       0       0       47.447  0.8596  99.54   5.5987  0.4102  
7-26    27      1.2323  0       0       0       41.298  3.8325  99.52   5.5135  0.4786  
7-27    11      1.6107  0       0       0       33.051  -9.765  99.43   5.458   0.4755  
7-28    22      1.2655  0       0       0       44.632  9.7722  99.58   5.4771  0.529   
7-29    17      1.3319  0       0       0       47.483  13.784  99.6    5.4892  0.5344  
7-30    26      1.2643  0       0       0       39.661  1.6299  99.52   5.486   0.4926  
---------------------------------------------------------------------
Average :       1.814   0       0       0       43.64   3.277   99.51   
Optimum :       1.056   0       0       0       51.08   0.716   99.69   
 
8-1     1       4.1163  0       0       0       22.867  -44.29  99.14   5.4474  0.4     
8-2     7       1.6588  0       0       0       58.428  26.332  99.64   5.6     0.4913  
8-3     22      1.3001  0       0       0       38.515  1.229   99.54   5.4114  0.5497  
8-4     20      1.278   0       0       0       45.125  10.613  99.59   5.4728  0.5356  
8-5     19      1.3233  0       0       0       47.525  13.475  99.59   5.5082  0.5178  
8-6     17      1.4019  0       0       0       50.091  16.986  99.61   5.515   0.5256  
8-7     14      1.4588  0       0       0       52.609  19.307  99.6    5.5788  0.4819  
8-8     6       1.9017  0       0       0       29.952  -15.44  99.38   5.4279  0.4796  
8-9     11      1.514   0       0       0       34.448  -7.66   99.43   5.4885  0.4591  
8-10    2       2.9526  0       0       0       23.627  -28.81  99.25   5.3745  0.4775  
8-11    18      1.3926  0       0       0       50.655  16.731  99.59   5.5757  0.4748  
8-12    4       2.3199  0       0       0       27.075  -22.16  99.28   5.4512  0.4409  
8-13    12      1.4967  0       0       0       53.259  20.697  99.63   5.546   0.5144  
8-14    28      1.2751  0       0       0       39.234  0.716   99.5    5.4965  0.4812  
8-15    8       1.6248  0       0       0       55.88   25.234  99.67   5.4876  0.5809  
8-16    24      1.2478  0       0       0       43.509  8.0579  99.57   5.476   0.5236  
8-17    29      1.2751  0       0       0       39.234  0.716   99.5    5.4965  0.4812  
8-18    25      1.2482  0       0       0       44.422  8.8599  99.56   5.5077  0.5012  
8-19    27      1.2315  0       0       0       44.237  7.9384  99.54   5.5449  0.468   
8-20    10      1.5411  0       0       0       54.433  22.304  99.64   5.5415  0.5244  
8-21    13      1.4667  0       0       0       52.762  19.6    99.61   5.5729  0.4879  
8-22    30      1.0559  0       0       0       47.543  1.0018  99.54   5.6     0.4096  
8-23    3       2.3685  0       0       0       26.633  -22.51  99.3    5.4167  0.4652  
8-24    5       1.9464  0       0       0       64.729  35.669  99.72   5.4928  0.6212  
8-25    16      1.4211  0       0       0       35.861  -4.885  99.46   5.4793  0.4754  
8-26    23      1.2994  0       0       0       38.488  0.4676  99.52   5.444   0.5215  
8-27    9       1.5471  0       0       0       54.902  22.517  99.63   5.5641  0.5065  
8-28    21      1.2604  0       0       0       43.738  8.8575  99.58   5.4548  0.5435  
8-29    15      1.427   0       0       0       51.788  18.101  99.59   5.5867  0.4708  
8-30    26      1.2866  0       0       0       38.892  -0.886  99.45   5.5608  0.4253  
---------------------------------------------------------------------
Average :       1.621   0       0       0       43.68   5.292   99.52   
Optimum :       1.056   0       0       0       50.09   0.468   99.72   
 
9-1     7       1.7846  0       0       0       30.712  -12.56  99.44   5.3735  0.5318  
9-2     3       1.9111  0       0       0       65.196  34.424  99.69   5.5794  0.5424  
9-3     2       2.1794  0       0       0       31.347  -25.54  99.34   5.515   0.4     
9-4     4       1.8906  0       0       0       64.302  33.827  99.69   5.5578  0.5583  
9-5     27      1.2751  0       0       0       39.234  0.716   99.5    5.4965  0.4812  
9-6     1       2.1775  0       0       0       71.303  42.618  99.74   5.4965  0.6499  
9-7     11      1.4588  0       0       0       52.609  19.307  99.6    5.5788  0.4819  
9-8     15      1.3926  0       0       0       50.655  16.731  99.59   5.5757  0.4748  
9-9     13      1.4051  0       0       0       36.193  -4.552  99.46   5.4942  0.465   
9-10    26      1.2308  0       0       0       43.797  7.5038  99.54   5.5301  0.4783  
9-11    22      1.2802  0       0       0       47.028  11.634  99.55   5.5755  0.4564  
9-12    29      1.2161  0       0       0       42.29   4.6665  99.5    5.561   0.4437  
9-13    8       1.6336  0       0       0       32.753  -10.24  99.42   5.4527  0.4779  
9-14    9       1.5245  0       0       0       33.979  -7.062  99.47   5.4132  0.519   
9-15    17      1.362   0       0       0       48.844  15.286  99.6    5.5123  0.5213  
9-16    20      1.3159  0       0       0       38.051  -1.234  99.49   5.4923  0.4778  
9-17    6       1.7744  0       0       0       61.148  30.149  99.67   5.5627  0.5385  
9-18    5       1.9533  0       0       0       29.662  -16.63  99.35   5.4582  0.4531  
9-19    18      1.36    0       0       0       48.68   15.171  99.61   5.5062  0.5259  
9-20    23      1.2656  0       0       0       44.816  9.9006  99.58   5.4848  0.5234  
9-21    10      1.4772  0       0       0       53.089  19.993  99.61   5.5753  0.4874  
9-22    30      1.0559  0       0       0       47.543  1.0018  99.54   5.6     0.4096  
9-23    24      1.2604  0       0       0       43.738  8.8575  99.58   5.4548  0.5435  
9-24    14      1.4019  0       0       0       50.091  16.986  99.61   5.515   0.5256  
9-25    12      1.427   0       0       0       51.788  18.101  99.59   5.5867  0.4708  
9-26    28      1.2751  0       0       0       39.234  0.716   99.5    5.4965  0.4812  
9-27    16      1.3687  0       0       0       49.044  15.578  99.61   5.5119  0.5228  
9-28    25      1.2842  0       0       0       38.935  -0.012  99.49   5.5091  0.4688  
9-29    21      1.2713  0       0       0       45.497  10.557  99.58   5.5041  0.5102  
